gene_name	pglobal_cv	qglobal_cv
TP53	0	0
KRAS	0	0
APC	0	0
FBXW7	4.42803571587547e-11	2.12722835790657e-07
SOX9	0.000139023520693393	0.534295194728849
SLC16A14	0.000172682012922198	0.553042926718828
TCF7L2	0.000278225467923998	0.763768655946793
ARID1A	0.000405965100963912	0.914219465621361
PCBP1	0.000428183554880945	0.914219465621361
SMAD2	0.000557144284617728	0.940222686020604
DHRS4L2	0.000575956762356555	0.940222686020604
PIK3CA	0.000587149887190219	0.940222686020604
KRTAP9-9	0.000636081090686913	0.940225710664594
SMAD4	0.000969167510246782	0.999938762144604
KRTAP5-4	0.00106120283739863	0.999938762144604
CTNNB1	0.00155102383157701	0.999938762144604
JUN	0.00173092851888301	0.999938762144604
ZFP36L2	0.00194902004236941	0.999938762144604
NPRL2	0.00225324425765228	0.999938762144604
OR51E2	0.00236541938643409	0.999938762144604
AGAP9	0.00236913059774202	0.999938762144604
MFSD3	0.00248040012991446	0.999938762144604
GNG12	0.00276336051992709	0.999938762144604
HTR1F	0.00389653612529284	0.999938762144604
TESPA1	0.00478535920313472	0.999938762144604
ZDHHC8	0.00499218549133595	0.999938762144604
PTEN	0.00679505247331558	0.999938762144604
CXCL1	0.00786765126875055	0.999938762144604
MPND	0.00796354416131151	0.999938762144604
ECT2L	0.0093538301410826	0.999938762144604
DNAJC24	0.00935393565957321	0.999938762144604
CSMD3	0.00938638671383696	0.999938762144604
MAS1	0.00967745520268215	0.999938762144604
AQP12B	0.00975570005733861	0.999938762144604
TSGA10IP	0.0102267177109823	0.999938762144604
ZXDA	0.0108027206154713	0.999938762144604
DUSP7	0.0112237181345937	0.999938762144604
LUZP2	0.0120611659417841	0.999938762144604
MOSMO	0.0132975973369089	0.999938762144604
MINDY4	0.014732018401314	0.999938762144604
NLRC3	0.0150724884001529	0.999938762144604
BCL9L	0.0151680944445283	0.999938762144604
HEATR5B	0.0162581425047963	0.999938762144604
RXFP3	0.0164663148854327	0.999938762144604
MUC22	0.0168450224700317	0.999938762144604
MRPL2	0.0169225658770119	0.999938762144604
MRPL17	0.0175385111720435	0.999938762144604
KRTAP4-11	0.0178830973653903	0.999938762144604
ACVR1B	0.0196757919845818	0.999938762144604
ZNF835	0.0198559347828634	0.999938762144604
RBM46	0.0199426271991778	0.999938762144604
CAMSAP3	0.0203080896388149	0.999938762144604
ARID1B	0.0210447349934708	0.999938762144604
COX19	0.021045286393421	0.999938762144604
C2orf78	0.0212459409466808	0.999938762144604
ERBB4	0.0216275522505924	0.999938762144604
SPANXN4	0.0229296398069372	0.999938762144604
